"MAP_ID","TARGET_CMG_ID","VENDOR","TARGET_PLANT_CODE","INTR","CONF","PO_ITEM","PR"
1,"1132","1400116","CN58","1","1","1","1"
2,"1132","110060199","CN58","1","1","1","1"
3,"1401","51032085","FR41","1","2","2","4"
4,"1401","51032085","FR43","4","3","4","4"
6,"1891","51067557","CH61","4","4","3","4"
21,"1401","510000X","FR43","1","2","3","4"
684,"1891","51068226","DE66","1","2","2","4"
347,"1132","1400138","CN58","1","1","1","1"
224,"1891","51064331","CH61","4","3","3","4"
364,"1261","110013717","DE51","1","2","2","4"
41,"1261","1400701","DE50","1","1","1","4"
42,"1261","1400032","DE40","1","1","1","4"
43,"1261","110020154","DE51","1","1","1","4"
44,"1261","110020154","DE52","1","1","1","4"
45,"1261","110014625","DE51","1","1","1","4"
46,"1261","110012057","DE50","1","1","1","4"
324,"1891","51019816","CH65","1","1","2","4"
48,"1261","110019219","DE51","1","1","1","4"
49,"1261","110017688","DE51","1","1","1","4"
50,"1261","110013383","DE50","1","1","1","4"
345,"1891","51105247","CH61","1","2","2","4"
384,"1891","51019813","DE66","1","2","2","4"
81,"1401","51037855","FR41","1","1","3","4"
424,"1261","110020635","DE50","4","4","3","4"
104,"1891","51049688","CH62","1","1","2","4"
105,"1891","51049688","CH64","1","1","2","4"
106,"1891","51049695","CH61","4","4","3","4"
109,"1891","51019694","CH61","1","2","2","4"
110,"1891","51049697","CH61","1","2","2","4"
144,"1261","110012224","DE52","1","1","1","4"
204,"1261","111623666","DE60","1","1","1","4"
264,"1132","1400701","CN58","1","1","1","1"
123,"1250","51070044","IT12","1","2","2","4"
143,"1261","110012224","DE51","1","1","1","4"
306,"1891","51019816","CH61","4","4","3","4"
344,"1250","51062781","IT12","4","3","3","4"
103,"1891","51049688","CH61","4","4","3","4"
244,"1250","51021738","IT12","1","2","2","4"
245,"1891","51067557","DE66","1","1","2","4"
246,"1891","51049688","DE66","1","1","2","4"
247,"1891","51049695","DE66","1","1","2","4"
284,"1891","51019816","DE66","1","1","2","4"
346,"1261","110020154","DE50","1","1","1","4"
404,"1891","51110384","CH61","4","4","3","4"
405,"1891","51110384","CH65","1","1","2","4"
406,"1891","51110384","DE66","1","1","2","4"
444,"1261","111596363","DE36","4","4","3","4"
464,"1261","110010482","DE51","4","4","1","4"
484,"1132","111643306","CN59","1","1","1","1"
504,"1401","51031143","FR43","1","2","3","4"
524,"1250","51074380","IT12","4","3","4","4"
544,"1261","111583933","DE51","1","1","1","4"
584,"1215","1400116","ES50","4","4","3","4"
585,"1215","1400701","ES50","4","4","3","4"
604,"1261","110011288","DE50","4","4","3","4"
624,"1401","51037855","FR43","1","1","3","4"
644,"1261","110019219","DE50","1","1","1","4"
664,"1261","111596363","DE51","1","1","1","4"
